userId,itemId,actual_rating,ffnn_predicted_rating,global_average_rating,user_average_rating,item_average_rating,similar_users_rating,similar_items_rating
11,1,4.0,4.1,3.0,3.5,3.0,3.0,3.7
11,2,4.0,3.6,3.0,3.5,2.3,2.4,3.6
11,3,5.0,4.3,3.0,3.5,4.3,4.4,3.7
11,4,1.0,2.3,3.0,3.5,1.0,1.0,3.3
12,1,4.0,3.9,3.0,3.7,3.0,3.0,3.7
12,2,2.0,3.4,3.0,3.7,2.3,2.3,3.6
12,3,5.0,4.1,3.0,3.7,4.3,4.3,3.7
12,4,0.0,2.1,3.0,3.7,1.0,1.0,3.5
13,1,1.0,2.8,3.0,1.7,3.0,2.9,1.7
13,2,1.0,2.3,3.0,1.7,2.3,2.3,1.6
13,3,3.0,3.0,3.0,1.7,4.3,4.3,1.7
13,4,0.0,1.1,3.0,1.7,1.0,1.0,1.6
