userId,itemId,actual_rating,ffnn_predicted_rating
11,1,4.0,4.0
11,2,4.0,4.0
11,3,5.0,4.0
11,4,4.0,4.0
11,5,4.0,5.0
11,8,0.0,3.0
12,1,4.0,4.0
12,2,2.0,3.0
12,3,5.0,4.0
12,4,0.0,4.0
12,5,4.0,4.0
12,8,0.0,3.0
13,1,4.0,4.0
13,2,3.0,3.0
13,3,0.0,4.0
13,4,0.0,4.0
13,5,0.0,4.0
13,8,0.0,3.0
14,1,4.0,4.0
14,2,0.0,4.0
14,3,0.0,4.0
14,4,4.0,4.0
14,5,3.0,4.0
14,8,0.0,3.0
15,1,4.0,5.0
15,2,0.0,4.0
15,3,5.0,5.0
15,4,0.0,5.0
15,5,5.0,5.0
15,8,0.0,3.0
16,1,0.0,5.0
16,2,0.0,4.0
16,3,0.0,5.0
16,4,5.0,4.0
16,5,5.0,5.0
16,8,0.0,3.0
17,1,0.0,4.0
17,2,0.0,4.0
17,3,0.0,4.0
17,4,0.0,4.0
17,5,5.0,4.0
17,8,0.0,3.0
18,1,5.0,4.0
18,2,0.0,4.0
18,3,0.0,4.0
18,4,4.0,4.0
18,5,0.0,4.0
18,8,0.0,3.0
88,1,0.0,4.0
88,2,0.0,3.0
88,3,0.0,4.0
88,4,0.0,4.0
88,5,0.0,4.0
88,8,0.0,2.0
99,1,0.0,4.0
99,2,0.0,3.0
99,3,0.0,4.0
99,4,0.0,4.0
99,5,0.0,4.0
99,8,0.0,2.0
100,1,0.0,4.0
100,2,0.0,3.0
100,3,0.0,4.0
100,4,0.0,4.0
100,5,0.0,4.0
100,8,0.0,2.0
