
id,name,features
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy
3,Grumpier Old Men (1995),Comedy|Romance
4,Waiting to Exhale (1995),Comedy|Drama|Romance
5,Father of the Bride Part II (1995),Comedy
6,O** 3** H**** B**********,2|Padang|Hotel|Padang Selatan
7,V**** K******* C*** P****,2|Mojokerto|Hotel|Mojokerto
8,4s V*****,4|Bali|Villa|Denpasar
9,P**** H**** L*******,0|Lumajang|Hotel|Lumajang
10,A*** T****** P**** S***** I******* M*** 55 S*******,0|Surabaya|Hotel|Surabaya
11,G**** M******,3|Bandung|Hotel|Bandung
12,I******* B******,3|Bandung|Hotel|Bandung
13,H**** P****** B****,0|Pagar Alam|Hotel|Pagar Alam
14,R******* n*** N***** H***,2|Batam|Guest House|Nagoya
15,G**** A****,0|Ambon|Hotel|Ambon
16,M***** C******* A*****,0|Ampana|Hotel|Tanjung Api
17,O** 9**** R*** G**** H****,2|Bali|Bed & breakfast|Canggu
18,R******* @ B***** H**** P***,2|Palu|Hotel|Palu
19,d***** G**** H****,0|Indramayu|Hotel|Indramayu
20,L*** H**** & R****,0|Balige|Hotel|Balige
21,H**** J******,2|Balikpapan|Hotel|Balikpapan
22,L***** H**** B******,0|Banda Aceh|Hotel|Banda Aceh
23,H**** D** S******,0|Banjar|Hotel|Banjar
24,H**** K******,3|Banjarbaru|Hotel|Banjarbaru
69745,G**** C****** B**********,1|Banjarmasin|Hotel|Banjarmasin
69833,H**** A****,0|Dompu|Hotel|Dompu
69834,H**** A********,0|Dompu|Hotel|Dompu
69835,H**** W***** N**** P*********,3|Dumai|Hotel|Dumai
69926,W**** MG,4|Kalimantan|Hotel|Kalimantan
69664,K*** R*** A********,5|Bali|Hotel|Bali
