userId,itemId,actual_rating,ffnn_predicted_rating,global_average_rating,user_average_rating,item_average_rating,similar_users_rating,similar_items_rating
11,1,4.0,3.0,2.7,2.8,2.8,2.8,2.8
11,2,4.0,3.0,2.7,2.8,2.8,2.8,2.8
11,3,5.0,3.0,2.7,2.8,2.8,2.8,2.8
11,4,1.0,2.0,2.7,2.8,2.5,2.5,2.8
11,5,0.0,3.0,2.7,2.8,2.8,2.8,2.8
12,1,0.0,3.0,2.7,3.0,2.8,2.7,3.0
12,2,0.0,3.0,2.7,3.0,2.8,2.7,3.0
12,3,5.0,3.0,2.7,3.0,2.8,2.7,3.0
12,4,2.0,3.0,2.7,3.0,2.5,2.5,3.0
12,5,4.0,3.0,2.7,3.0,2.8,2.7,3.0
13,1,1.0,2.0,2.7,2.0,2.8,2.7,2.0
13,2,3.0,2.0,2.7,2.0,2.8,2.7,2.0
13,3,0.0,2.0,2.7,2.0,2.8,2.7,2.0
13,4,0.0,2.0,2.7,2.0,2.5,2.5,2.0
13,5,0.0,2.0,2.7,2.0,2.8,2.7,2.0
14,1,1.0,3.0,2.7,3.0,2.8,2.7,3.0
14,2,1.0,3.0,2.7,3.0,2.8,2.7,3.0
14,3,3.0,3.0,2.7,3.0,2.8,2.7,3.0
14,4,5.0,3.0,2.7,3.0,2.5,2.5,3.0
14,5,5.0,3.0,2.7,3.0,2.8,2.7,3.0
