id,name,features
69602,K******* B** & B********,1|Bandung|Hotel|Bandung
69603,M******* P**** V***** N*** D**,5|Bali|Hotel|Nusa Dua
69604,C*** M************** A** I***,0|Bali|Hotel|Denpasar
69605,C*** B*** M*****,4|Bali|Hotel|Denpasar
69606,A*** K*** B***** S*** 13 B***,0|Bali|Hotel|Kuta
69607,S****** a** S**,0|Bali|Hotel|Denpasar
69608,A*** L***** D*** S** 9 K*** B***,0|Bali|Hotel|Kuta
69609,S***** M***** S****,4|Bali|Hotel|Sanur
69610,B********,4|Bali|Hotel|Denpasar
69611,P****** V***,0|Bali|Hotel|Denpasar
69612,S********* B*******,4|Bali|Hotel|Legian
69613,D****** G**** H****,1|Bali|Hotel|Bali
69614,L******** H**** E****** D*******,3|Bali|Hotel|Denpasar
69615,A*** S******* K******** B*** B**** 88 B***,0|Bali|Hotel|Kerobokan
69616,G**** A***** B******* V***** a** S**,4|Bali|Hotel|Denpasar
69617,T** B***** V***** a** S**,0|Bali|Hotel|Denpasar
69618,U*** I**,3|Bali|Hotel|Ubud
69619,d O*** B***,4|Bali|Hotel|Denpasar
69620,T**** B**** (******* N**** T**** B*****,4|Bali|Hotel|Denpasar
69621,S**** T****** R*****,3|Bali|Hotel|Denpasar
69622,A*** U*** R*** K******** B***,0|Bali|Hotel|Ubud
69623,P*** B****,0|Bali|Hotel|Denpasar
69624,A*** S*** R***** a** S**,3|Bali|Hotel|Gianyar
69625,K****** S*** G*** M***,2|Lombok|Hotel|gili meno
69626,S** L*****,0|Bali|Hotel|Lovina
69627,G**** M*** H****,0|Lumajang|Hotel|Lumajang
69628,P**** H**** L*******,0|Lumajang|Hotel|Lumajang
69629,A*** T****** P**** S***** I******* M*** 55 S*******,0|Surabaya|Hotel|Surabaya
69630,G**** M******,3|Bandung|Hotel|Bandung
69631,I******* B******,3|Bandung|Hotel|Bandung
69632,A*** P****** C**** 2 B******,0|Bandung|Hotel|Bandung
69633,B****** C*** & B******* H****,3|Bandung|Hotel|Bandung
69634,K******** H****,0|Bandung|Hotel|Bandung
69635,V**** P*** T****,0|Bandung|Hotel|Bandung
69636,S****** G**** H****,2|Jakarta|Bed & breakfast|Jatinegara
69637,A*** G***** J***** V****** 1 J******,0|Jakarta|Hotel|Jakarta
