id,name,features
70723,O** 2*** Z S***** H****,2|Medan|Hotel|Medan
73306,A** s***,0|Jakarta|Hotel|Jakarta
81595,V**** E** S*******,0|Bali|Villa|Seminyak
78849,R******* @ O***** G**** H**** B*** (******* O***** G**** H*****,2|Malang|Bed & breakfast|Blimbing
82846,A*** D******* S****** T**** B***** 16 B***,0|Bali|Hotel|Denpasar
78456,at H** H**** K**** by H****** G****,2|Kudus|Hotel|Kudus
79175,O** 7** G**** H**** A***** M*****,2|Malang|Hotel|Klojen
71122,P** H**** P*****,0|Sumatra|Hotel|Sumatra
84830,R******** H**** Y*** M*****,2|Mamuju|Hotel|Mamuju
74104,M******** J******,3|Jakarta|Hotel|Jakarta
85106,T*** h****,4|Makassar|Hotel|Panakkukang
80124,R**** A****** S****** 1 R*********,1|Probolinggo|Hotel|Probolinggo
84435,Em H*** E***** V****,4|Lombok|Hotel|Lombok
73612,L***** T****** C*******,2|Jakarta|Hotel|Jakarta
73406,T** F***** H**** B****,3|Bogor|Hotel|Bogor Selatan
81579,A***** A***** S***** B**** K***,3|Bali|Hotel|Kuta
82337,I** V** V**** by I** V** H**********,4|Bali|Villa|Legian
78435,R******* P*** Jl J****** S******* S********,3|Solo City|Hotel|Sukoharjo
85753,C***** B**** H****,2|Ambon|Hotel|Ambon
80101,B**** E*******,0|Probolinggo|Hotel|Probolinggo
77265,H**** B****,1|Yogyakarta|Hotel|Danurejan
80817,B******* G***** B*******,0|Bali|Hotel|Denpasar
73402,P**** 22 M******,2|Bogor|Hotel|Bogor
79326,V******* B******* R********,2|Malang|Hotel|Blimbing
69875,H**** P********** I*********,0|Jambi|Hotel|Jambi
83065,P*** A*** V****,3|Bali|Hotel|Denpasar
83940,T**** A** H**** a** R*********,3|Bali|Hotel|Denpasar
77340,R******* n*** U********** G**** M***,2|Yogyakarta|Bed & breakfast|Yogyakarta
83014,L***** D********,1|Bali|Hotel|Ubud
85058,O** 8** M******* G**** H****,2|Makassar|Hotel|Rappocini
80771,3D H*** S***,4|Padang|Guest House|Padang Barat
70649,R******* @ N*********** S*********,2|Medan|Hotel|Bahapal Raya
