id,name,features
69641,G**** A****,0|Ambon|Hotel|Ambon
69642,M***** C******* A*****,0|Ampana|Hotel|Tanjung Api
69651,A** H*******,0|Bali|Hotel|Bali
69654,C***** B**** H****,0|Bali|Hotel|Bali
69655,T** D**** R****** - P*** V**** G**** H****,0|Bali|Hotel|Bali
69659,C** H**** & V****,0|Bali|Hotel|Bali
69688,C****** H**** S****,0|Banda Aceh|Hotel|Banda Aceh
69697,H**** B**** R*** B****,0|Banda Aceh|Hotel|Banda Aceh
69698,A***** H******* M*******,0|Banda Aceh|Hotel|Banda Aceh
69725,T**** K****** B******,0|Bandar Lampung|Hotel|Bandar Lampung
69727,D*** B****** H*******,0|Bandar Lampung|Hotel|Bandar Lampung
69771,C****** B**** H****,4|Baubau|Hotel|Baubau
69781,H**** K***** U**,0|Berastagi|Hotel|Berastagi
69788,W**** P***** T****** U***,0|Bintan|Hotel|Bintan
69802,G**** P**** B********,2|Bondowoso|Hotel|Bondowoso
69809,G**** D*** H**** B******,0|Brebes|Hotel|Brebes
69833,H**** A****,0|Dompu|Hotel|Dompu
69834,H**** A********,0|Dompu|Hotel|Dompu
69844,V******* H****,0|Garut|Hotel|Pameungpeuk
69852,z****** H****,3|Halmahera|Hotel|Halmahera
69854,G****** H****,0|Indramayu|Hotel|Indramayu
69855,V** H**** I********,0|Indramayu|Hotel|Indramayu
69866,A********* S******* P***,0|Jakarta|Hotel|Jakarta
69870,H**** M**** P****,0|Jambi|Hotel|Jambi
69873,H**** J*** W*****,0|Jambi|Hotel|Jambi
69883,H**** B***** B****,0|Jambi|Hotel|Jambi
69914,M***** R***** H****,0|Kalimantan|Hotel|Kalimantan
69950,P********* S**** 2 P****,0|Kalimantan|Hotel|Kalimantan
69994,G**** H**** F***** S**,0|Kolaka|Hotel|Kolaka
69997,P**** J*** H**** K*********,0|Kotamobagu|Hotel|Kotamobagu
70001,H*** S*** M****** K*****,0|Kupang|Hotel|Kupang city
70018,H**** E******,1|Lamongan|Hotel|Lamongan
70044,H**** B****,0|Makassar|Hotel|Makassar
70055,H**** E********,0|Maluku|Hotel|Maluku
70064,G**** S**** H****,1|Maluku|Hotel|Maluku
70107,A***** B******* H**** P******,2|Pacitan|Hotel|Pacitan
70120,H**** P****** B****,0|Pagar Alam|Hotel|Pagar Alam
70123,H**** J****** B***,0|Palangkaraya|Hotel|Palangkaraya
70135,P******* H****,3|Palopo|Hotel|Palopo
70136,G******** G**** H****,0|Palu|Hotel|Palu
70166,H**** G*** N*****,0|Papua|Hotel|Papua
70174,W**** F*********,0|Payakumbuh|Hotel|Payakumbuh
70182,H**** K****** P*******,0|Pemalang|Hotel|Pemalang
70195,G**** L***** H****,0|Pontianak|Hotel|Pontianak
70200,G**** N*****,0|Prabumulih|Hotel|Prabumulih
70206,M G**** H****,0|Purwokerto|Hotel|Purwokerto
70207,H**** V**** P*********,1|Purwokerto|Hotel|Purwokerto
70209,H**** H*****,0|Purworejo|Hotel|Purworejo
70213,H**** M**********,0|Riau|Hotel|Riau
70223,A***** H*******,0|Riau|Hotel|Riau
70231,H******* T** J******,0|Riau|Hotel|Riau
70238,P***** M***** H****,0|Riau|Hotel|Riau
70254,D***** T********* H****,0|Riau|Hotel|Riau
70258,N** H**** R****,3|Rote Island|Hotel|Rote Island
