id,name,features
80225,R******* S****** n*** K****** S******,2|Sumenep|Hotel|Sumenep
78657,R******* S****** @ W***** N******,2|Nganjuk|Hotel|Nganjuk
77673,L** G***** H****,3|Yogyakarta|Hotel|Sleman
74454,R******** A******** C****** V****** - L***** R*** T**** C,1|Depok|Hotel|Margonda
76677,R******* S****** n*** K****** C**** A***** D**** 2,2|Wonosobo|Hotel|Wonosobo
71350,O** 3** H**** B**********,2|Padang|Hotel|Padang Selatan
78979,V**** K******* C*** P****,2|Mojokerto|Hotel|Mojokerto
81198,4s V*****,4|Bali|Villa|Denpasar
71537,O** 1*** S******* A*** H****,2|Dumai|Hostel/Backpacker accommodation|Dumai Kota
83433,V***** U*** R*****,5|Bali|Hotel|Ubud
84451,T***** H****,5|Lombok|Villa|Kuta Lombok
75952,S**** O** 1*** W**** A*******,2|Bandung|Hotel|Bandung
78511,O** 1*** G**** S******* R******** S******,2|Pacitan|Hotel|Pacitan
75470,S**** H**** by C*****,4|Bandung|Hotel|Cihampelas
69704,F***** H****,0|Banda Aceh|Hotel|Banda Aceh
81423,H****** S*******,3|Bali|Hotel|Seminyak
85240,A**** P*** H**** & C********* C*****,4|Palu|Hotel|Palu
77527,Z** R**** T*****,1|Yogyakarta|Hotel|Yogyakarta
82355,S***** R******** C*******,3|Bali|Aparthotel|Bali
77233,T***** B*** R********,2|Yogyakarta|Hotel|Yogyakarta
69892,H**** G******,0|Kalimantan|Hotel|Kalimantan
84512,O** 2*** E****** B*******,2|Lombok|Hotel|Lombok
76156,O** 5** O**** H****,2|Belitung|Hotel|Tanjung Pandan
74231,O** 1*** K*** K******* E******** B****** H**** S********,2|Jakarta|Hotel|Kuningan/Setiabudi  - South Jakarta
71925,G**** N***** 68 H****,0|Batam|Hotel|Lubuk Baja
73225,S***** B**** H****,3|Bogor|Hotel|Paledang
81269,V**** M*****,0|Bali|Hotel|Denpasar
69605,C*** B*** M*****,4|Bali|Hotel|Denpasar
75674,C**** H**** B******,3|Bandung|Hotel|Gatot Subroto
77293,D***** H******* L********** By T** G**** J***,3|Yogyakarta|Villa|Danurejan
69893,H**** P**** M***,0|Kalimantan|Hotel|Kalimantan
85751,O** 1*** C***** G**** H****,2|Ambon|Bed & breakfast|Ambon
76801,G**** B******** C****** 1 at D*** W***** W*******,1|Magelang|Hotel|Magelang
75085,G**** S******* R***** a** C*********,4|Bandung|Hotel|Soreang
83555,OM H** R******,3|Bali|Hotel|Ubud
77571,O** 3*** B****** K*** E********,2|Yogyakarta|Hotel|Yogyakarta
71671,R******* @ P***** T***** H**** B******* T*****,2|Bengkulu|Hotel|Tanah Patah
69751,H**** N***** B***********,0|Banjarnegara|Hotel|Banjarnegara
76300,P******* H**** C******,0|Cirebon|Hotel|Cirebon
80386,S*** ON 2*** D****** R*** & S**,2|Banyuwangi|Hostel/Backpacker accommodation|Banyuwangi
75462,P**** B*** S***** H**** B****** P****** by A**********,3|Bandung|Hotel|Braga
83183,A******* B********,2|Bali|Bed & breakfast|Bali
82976,H**** P*** N*** I**** By Z***,2|Bali|Hotel|Denpasar
73020,O** 3*** H**** R********,2|Tangerang|Hotel|Bintaro
85280,G*** H******,0|Flores|Hotel|Ende
79225,U******** R***** T*****,2|Pasuruan|Hotel|Prigen
76007,R******* R***** n*** D****** G****,2|Garut|Hotel|Pasirwangi
85184,R******* n*** M****** H***** A****,2|Pare-pare|Guest House|Soreang
78167,F**** O** B***** H**** B*******,2|Boyolali|Hotel|Boyolali
76263,C****** P****,2|Cirebon|Hotel|Cirebon
70168,H**** 88 p*******,4|Pare-pare|Hotel|Bacukiki Barat
71234,P** H****,3|Padang Sidempuan|Hotel|Padang Sidempuan
74817,V**** K*** B**** M****,4|Cipanas|Villa|Cipanas
75803,O** 5** C******* G**** H****,2|Bandung|Hotel|Cibeunying
70120,H**** P****** B****,0|Pagar Alam|Hotel|Pagar Alam
71959,R******* n*** N***** H***,2|Batam|Guest House|Nagoya
71786,G**** M******** J****,3|Jambi|Hotel|Sungai Asam
71944,O** 3*** C********* R********,2|Batam|Hotel|Batam Center
85628,S******** R******** T****** R*********,1|Tomohon|Hotel|Tomohon
71004,R******* n*** Y*** S****** R*** M*** M****,2|Medan|Hotel|Medan
83908,B*** P*** R*****,4|Bali|Hotel|Candidasa
72181,O** 3*** Rd K***,2|Palembang|Hotel|Palembang
75058,A*** S***** V****** 1 P*********,0|Purwakarta|Hotel|Purwakarta
80363,S*** ON 2*** P**** R********,2|Banyuwangi|Hotel|Banyuwangi
83295,A******* B****,3|Bali|Resort|Sanur
80397,B********* H****,3|Banyuwangi|Hotel|Banyuwangi
81031,O** 9**** R*** G**** H****,2|Bali|Bed & breakfast|Canggu
85294,R******* @ B***** H**** P***,2|Palu|Hotel|Palu
