----------------------------------------------------------------
   Matrix Factorization via Stochastic Gradient Descent (SGD)
----------------------------------------------------------------
Train Data Presentation: 90.00%
Test Data Presentation : 10.00%


Hyperparameter Matrix Factorization:
Latent factors / Dimensi laten: 128
Learning rate                 : 0.005
Regularization parameter      : 0.02
Jumlah epoch / training       : 88


Epoch 1/88, MAE: 3.4999, MSE: 13.3332, RMSE: 3.6515
Epoch 2/88, MAE: 3.2712, MSE: 11.8361, RMSE: 3.4404
Epoch 3/88, MAE: 2.0110, MSE: 5.5654, RMSE: 2.3591
Epoch 4/88, MAE: 1.3965, MSE: 3.0574, RMSE: 1.7485
Epoch 5/88, MAE: 1.1314, MSE: 2.1218, RMSE: 1.4566
Epoch 6/88, MAE: 0.9911, MSE: 1.6686, RMSE: 1.2917
Epoch 7/88, MAE: 0.9050, MSE: 1.4045, RMSE: 1.1851
Epoch 8/88, MAE: 0.8468, MSE: 1.2321, RMSE: 1.1100
Epoch 9/88, MAE: 0.8048, MSE: 1.1110, RMSE: 1.0540
Epoch 10/88, MAE: 0.7731, MSE: 1.0213, RMSE: 1.0106
Epoch 11/88, MAE: 0.7479, MSE: 0.9521, RMSE: 0.9758
Epoch 12/88, MAE: 0.7274, MSE: 0.8970, RMSE: 0.9471
Epoch 13/88, MAE: 0.7101, MSE: 0.8517, RMSE: 0.9229
Epoch 14/88, MAE: 0.6952, MSE: 0.8138, RMSE: 0.9021
Epoch 15/88, MAE: 0.6821, MSE: 0.7812, RMSE: 0.8839
Epoch 16/88, MAE: 0.6704, MSE: 0.7528, RMSE: 0.8676
Epoch 17/88, MAE: 0.6598, MSE: 0.7276, RMSE: 0.8530
Epoch 18/88, MAE: 0.6499, MSE: 0.7050, RMSE: 0.8396
Epoch 19/88, MAE: 0.6407, MSE: 0.6845, RMSE: 0.8273
Epoch 20/88, MAE: 0.6320, MSE: 0.6657, RMSE: 0.8159
Epoch 21/88, MAE: 0.6236, MSE: 0.6484, RMSE: 0.8052
Epoch 22/88, MAE: 0.6156, MSE: 0.6322, RMSE: 0.7951
Epoch 23/88, MAE: 0.6078, MSE: 0.6168, RMSE: 0.7854
Epoch 24/88, MAE: 0.6002, MSE: 0.6021, RMSE: 0.7759
Epoch 25/88, MAE: 0.5927, MSE: 0.5877, RMSE: 0.7666
Epoch 26/88, MAE: 0.5853, MSE: 0.5737, RMSE: 0.7574
Epoch 27/88, MAE: 0.5778, MSE: 0.5598, RMSE: 0.7482
Epoch 28/88, MAE: 0.5704, MSE: 0.5461, RMSE: 0.7390
Epoch 29/88, MAE: 0.5628, MSE: 0.5324, RMSE: 0.7297
Epoch 30/88, MAE: 0.5552, MSE: 0.5187, RMSE: 0.7202
Epoch 31/88, MAE: 0.5476, MSE: 0.5051, RMSE: 0.7107
