----------------------------------------------------------------
   Matrix Factorization via Stochastic Gradient Descent (SGD)
----------------------------------------------------------------
Train Data Presentation: 90.00%
Test Data Presentation: 10.00%


Hyperparameter Matrix Factorization:
Latent factors / Dimensi laten: 128
Learning rate                 : 0.05
Regularization parameter      : 0.01
Jumlah epoch / training       : 70


Epoch 1/70, MAE: 597.1839, MSE: 1203934.9829, RMSE: 1097.2397
Epoch 2/70, MAE: 1546.8679, MSE: 3410516.1163, RMSE: 1846.7583
Epoch 3/70, MAE: 1568.9453, MSE: 3474918.8965, RMSE: 1864.1134
Epoch 4/70, MAE: 1605.5318, MSE: 3564046.9954, RMSE: 1887.8684
Epoch 5/70, MAE: 1607.2122, MSE: 3569066.0401, RMSE: 1889.1972
Epoch 6/70, MAE: 1607.0987, MSE: 3568715.4871, RMSE: 1889.1044
Epoch 7/70, MAE: 1607.2080, MSE: 3569085.1293, RMSE: 1889.2022
Epoch 8/70, MAE: 1607.0770, MSE: 3568657.9950, RMSE: 1889.0892
Epoch 9/70, MAE: 1607.2118, MSE: 3569065.7828, RMSE: 1889.1971
Epoch 10/70, MAE: 1607.0984, MSE: 3568715.3431, RMSE: 1889.1044
Epoch 11/70, MAE: 1607.2080, MSE: 3569085.1293, RMSE: 1889.2022
Epoch 12/70, MAE: 1607.0770, MSE: 3568657.9950, RMSE: 1889.0892
Epoch 13/70, MAE: 1607.2118, MSE: 3569065.7828, RMSE: 1889.1971
Epoch 14/70, MAE: 1607.0984, MSE: 3568715.3431, RMSE: 1889.1044
Epoch 15/70, MAE: 1607.2080, MSE: 3569085.1293, RMSE: 1889.2022
Epoch 16/70, MAE: 1607.0770, MSE: 3568657.9950, RMSE: 1889.0892
Epoch 17/70, MAE: 1607.2118, MSE: 3569065.7828, RMSE: 1889.1971
Epoch 18/70, MAE: 1607.0984, MSE: 3568715.3431, RMSE: 1889.1044
Epoch 19/70, MAE: 1607.2080, MSE: 3569085.1293, RMSE: 1889.2022
Epoch 20/70, MAE: 1607.0770, MSE: 3568657.9950, RMSE: 1889.0892
Epoch 21/70, MAE: 1607.2118, MSE: 3569065.7828, RMSE: 1889.1971
Epoch 22/70, MAE: 1607.0984, MSE: 3568715.3431, RMSE: 1889.1044
Epoch 23/70, MAE: 1607.2080, MSE: 3569085.1293, RMSE: 1889.2022
Epoch 24/70, MAE: 1607.0770, MSE: 3568657.9950, RMSE: 1889.0892
Epoch 25/70, MAE: 1607.2118, MSE: 3569065.7828, RMSE: 1889.1971
Epoch 26/70, MAE: 1607.0984, MSE: 3568715.3431, RMSE: 1889.1044
Epoch 27/70, MAE: 1607.2080, MSE: 3569085.1293, RMSE: 1889.2022
Epoch 28/70, MAE: 1607.0770, MSE: 3568657.9950, RMSE: 1889.0892
Epoch 29/70, MAE: 1607.2118, MSE: 3569065.7828, RMSE: 1889.1971
