id,name,features
72489,Ninja Assassin (2009),Action|Crime|Drama|Thriller
114265,Laggies (2014),Comedy|Romance
6615,Freddy vs. Jason (2003),Action|Horror|Thriller
7092,Anna Karenina (1935),Drama|Romance
93723,Damsels in Distress (2011),Comedy|Romance
2511,"Long Goodbye, The (1973)",Crime|Film-Noir
123545,The Blue Lagoon (1949),Drama|Romance
95875,Total Recall (2012),Action|Sci-Fi|Thriller
25927,"Stranger, The (1946)",Drama|Film-Noir|Thriller
4821,Joy Ride (2001),Adventure|Thriller
89804,"Ides of March, The (2011)",Drama
177593,"Three Billboards Outside Ebbing, Missouri (2017)",Crime|Drama
72737,"Princess and the Frog, The (2009)",Animation|Children|Fantasy|Musical|Romance
8677,Flash Gordon Conquers the Universe (1940),Action|Sci-Fi
4292,Norma Rae (1979),Drama
2989,For Your Eyes Only (1981),Action|Adventure|Thriller
5984,"Story of O, The (Histoire d'O) (1975)",Drama|Romance
96283,Diary of a Wimpy Kid: Dog Days (2012),Children|Comedy
5986,Fat City (1972),Drama
1388,Jaws 2 (1978),Horror|Thriller
2540,"Corruptor, The (1999)",Action|Crime|Drama|Thriller
4719,Osmosis Jones (2001),Action|Animation|Comedy|Crime|Drama|Romance|Thriller
79684,Paper Man (2009),Comedy|Drama
47261,"Night Listener, The (2006)",Fantasy|Mystery|Thriller
4622,Loverboy (1989),Comedy
2550,"Haunting, The (1963)",Horror|Thriller
106002,Ender's Game (2013),Action|Adventure|Sci-Fi|IMAX
4012,Punchline (1988),Comedy|Drama
4722,All Over the Guy (2001),Comedy
5853,Scanners (1981),Horror|Sci-Fi|Thriller
694,"Substitute, The (1996)",Action|Crime|Drama
87834,My Life as McDull (Mak dau goo si) (2001),Animation|Comedy|Drama
90863,George Harrison: Living in the Material World (2011),Documentary
100507,21 and Over (2013),Comedy
11,"American President, The (1995)",Comedy|Drama|Romance
109633,"Garden of Words, The (Koto no ha no niwa) (2013)",Animation|Romance
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
5292,Slap Shot (1977),Comedy
7932,Dark Days (2000),Documentary
5451,Pumpkin (2002),Comedy|Drama|Romance
5630,Red Dragon (2002),Crime|Mystery|Thriller
5424,Harvard Man (2001),Crime|Drama|Romance|Thriller
66511,Berlin Calling (2008),Comedy|Drama
162590,Bridget Jones's Baby (2016),Comedy|Romance
3499,Misery (1990),Drama|Horror|Thriller
104337,Lee Daniels' The Butler (2013),Drama
2804,"Christmas Story, A (1983)",Children|Comedy
157432,Precious Cargo (2016),Action|Crime
173205,The Meyerowitz Stories (2017),Comedy
58998,Forgetting Sarah Marshall (2008),Comedy|Romance
50802,Because I Said So (2007),Comedy|Drama|Romance
6638,Valley Girl (1983),Comedy|Romance
1398,In Love and War (1996),Romance|War
52579,"Vie en Rose, La (Môme, La) (2007)",Drama|Musical
4154,Recess: School's Out (2001),Animation|Children
1955,Kramer vs. Kramer (1979),Drama
3363,American Graffiti (1973),Comedy|Drama
108,Catwalk (1996),Documentary
53450,"Legend of Sleepy Hollow, The (1980)",Comedy|Fantasy|Horror
111617,Blended (2014),Comedy
7007,"Last Boy Scout, The (1991)",Action|Comedy|Crime|Drama|Thriller
3169,The Falcon and the Snowman (1985),Crime|Drama|Thriller
60735,Shotgun Stories (2007),Drama|Thriller
5501,"Master of Disguise, The (2002)",Comedy|Mystery
4123,Ishtar (1987),Comedy
1396,Sneakers (1992),Action|Comedy|Crime|Drama|Sci-Fi
100611,Escape from Planet Earth (2013),Adventure|Animation|Comedy|Sci-Fi
43,Restoration (1995),Drama
4822,Max Keeble's Big Move (2001),Children|Comedy
6510,"Bodies, Rest & Motion (1993)",Drama|Romance
110718,Fading Gigolo (2013),Comedy
2609,"King of Masks, The (Bian Lian) (1996)",Drama
5817,Ararat (2002),Drama|War
4077,"With a Friend Like Harry... (Harry, un ami qui vous veut du bien) (2000)",Drama|Thriller
1572,"Contempt (Mépris, Le) (1963)",Drama
4018,What Women Want (2000),Comedy|Romance
3095,"Grapes of Wrath, The (1940)",Drama
3709,Sleepwalkers (1992),Horror
